Datetime,Open,High,Low,Close,Volume
2021-06-14T00:00:00.000+0000,1.2857,1.3162,1.2431,1.2999,12465673.06373799
2021-06-15T00:00:00.000+0000,1.2999,1.3293,1.2737,1.2843,9002209.52976903
2021-06-16T00:00:00.000+0000,1.2818,1.2993,1.2291,1.237,7325906.15423299
2021-06-17T00:00:00.000+0000,1.2393,1.287,1.2239,1.2445,5845740.52366199
2021-06-18T00:00:00.000+0000,1.2455,1.2536,1.1594,1.1949,9408372.51319398
2021-06-19T00:00:00.000+0000,1.1953,1.2181,1.17,1.171,5261566.22912502
2021-06-20T00:00:00.000+0000,1.1701,1.2307,1.1037,1.2018,14601305.216748
2021-06-21T00:00:00.000+0000,1.203,1.2106,0.98,0.98509,30303308.68314693
2021-06-22T00:00:00.000+0000,0.98614,1.0612,0.8376,0.96725,59977102.47651118
2021-06-23T00:00:00.000+0000,0.9696,1.097,0.93018,1.0488,22807760.3354761
2021-06-24T00:00:00.000+0000,1.05,1.1734,1.009,1.1395,21207178.51804
2021-06-25T00:00:00.000+0000,1.1398,1.1708,1.01,1.0518,23366778.63812397
2021-06-26T00:00:00.000+0000,1.0515,1.15,1.0065,1.0498,13870318.22720592
2021-06-27T00:00:00.000+0000,1.049,1.13,1.042,1.1195,9310241.60308598
2021-06-28T00:00:00.000+0000,1.1215,1.1334,1.0946,1.1103,11294848.04753703
2021-06-29T00:00:00.000+0000,1.1135,1.196,1.1068,1.1494,14154998.04209606
2021-06-30T00:00:00.000+0000,1.1528,1.181,1.0848,1.1672,15043760.449051
2021-07-01T00:00:00.000+0000,1.1685,1.1686,1.101,1.1269,7816127.97987797
2021-07-02T00:00:00.000+0000,1.1244,1.175,1.0866,1.175,11353466.08271497
2021-07-03T00:00:00.000+0000,1.175,1.2176,1.1457,1.1847,8999195.01729798
2021-07-04T00:00:00.000+0000,1.184,1.26,1.165,1.232,8166497.76647298
2021-07-05T00:00:00.000+0000,1.2316,1.2316,1.1605,1.1843,10477877.22371
2021-07-06T00:00:00.000+0000,1.1843,1.2288,1.1762,1.1966,6301082.19445299
2021-07-07T00:00:00.000+0000,1.1969,1.218,1.1875,1.1926,5025329.22767598
2021-07-08T00:00:00.000+0000,1.1918,1.1932,1.1144,1.122,9130802.15416301
2021-07-09T00:00:00.000+0000,1.1214,1.159,1.088,1.1368,5798126.82503003
2021-07-10T00:00:00.000+0000,1.1369,1.151,1.1107,1.1258,2803765.821887
2021-07-11T00:00:00.000+0000,1.1258,1.1511,1.1168,1.1357,2552773.435723
2021-07-12T00:00:00.000+0000,1.1374,1.1588,1.0898,1.1081,5985341.18718399
2021-07-13T00:00:00.000+0000,1.107,1.115,1.0602,1.0747,5263480.19661102
2021-07-14T00:00:00.000+0000,1.0752,1.0919,1.0161,1.0679,7087615.443784
2021-07-15T00:00:00.000+0000,1.0677,1.0899,1.0203,1.0374,6174589.345553
2021-07-16T00:00:00.000+0000,1.038,1.0547,0.989,0.99237,8616745.97286497
2021-07-17T00:00:00.000+0000,0.99237,1.0131,0.9759,0.993,5305450.04247399
2021-07-18T00:00:00.000+0000,0.99367,1.03,0.99101,1.002,3488326.404263
2021-07-19T00:00:00.000+0000,1.0008,1.0107,0.915,0.9514,18107805.30961
2021-07-20T00:00:00.000+0000,0.95226,0.9625,0.86,0.89614,25398052.59110205
2021-07-21T00:00:00.000+0000,0.89324,1.0378,0.88201,0.99234,16182515.26481396
2021-07-22T00:00:00.000+0000,0.99311,1.0275,0.9757,1.0087,7387476.22157499
2021-07-23T00:00:00.000+0000,1.0073,1.0249,0.9733,1.0239,7619733.32234999
2021-07-24T00:00:00.000+0000,1.024,1.0628,1.016,1.0482,7948913.30855198
2021-07-25T00:00:00.000+0000,1.0482,1.0531,1.0112,1.043,4948351.87301699
2021-07-26T00:00:00.000+0000,1.043,1.1864,1.0384,1.0654,22422772.20117217
2021-07-27T00:00:00.000+0000,1.0636,1.1145,1.0302,1.0823,10267427.81850698
2021-07-28T00:00:00.000+0000,1.0829,1.115,1.0663,1.0864,10418506.10511204
2021-07-29T00:00:00.000+0000,1.0889,1.093,1.06,1.0822,5035201.371142
2021-07-30T00:00:00.000+0000,1.0822,1.1095,1.05,1.1032,8841277.55541399
2021-07-31T00:00:00.000+0000,1.1042,1.1235,1.0843,1.1104,7836744.907953
2021-08-01T00:00:00.000+0000,1.1118,1.1674,1.098,1.1118,10545133.42481505
2021-08-02T00:00:00.000+0000,1.1101,1.1383,1.0932,1.1032,6523517.94257796
2021-08-03T00:00:00.000+0000,1.1027,1.1641,1.0632,1.1525,12229303.986228
2021-08-04T00:00:00.000+0000,1.1562,1.1755,1.1171,1.1636,8036162.27502902
2021-08-05T00:00:00.000+0000,1.1625,1.1801,1.1319,1.17,7196151.89042202
2021-08-06T00:00:00.000+0000,1.1723,1.23,1.081,1.1881,31161495.090577
2021-08-07T00:00:00.000+0000,1.1897,1.2652,1.183,1.2497,17587093.47928111
2021-08-08T00:00:00.000+0000,1.2505,1.27,1.193,1.2148,14486893.658763
2021-08-09T00:00:00.000+0000,1.214,1.2882,1.1805,1.2574,18877889.61108998
2021-08-10T00:00:00.000+0000,1.2527,1.4562,1.2435,1.4325,24904694.55427187
2021-08-11T00:00:00.000+0000,1.4325,1.62,1.4252,1.5303,33739698.30911019
2021-08-12T00:00:00.000+0000,1.5283,1.5928,1.431,1.559,26955441.71095504
2021-08-13T00:00:00.000+0000,1.559,1.8189,1.5523,1.8111,38798451.88499823
2021-08-14T00:00:00.000+0000,1.8104,1.91,1.7233,1.8586,29991755.66995093
2021-08-15T00:00:00.000+0000,1.8551,1.906,1.7178,1.836,21008561.37145311
2021-08-16T00:00:00.000+0000,1.836,1.8665,1.7357,1.7596,14847451.91229209
2021-08-17T00:00:00.000+0000,1.7601,1.819,1.6168,1.6445,21041528.30072423
2021-08-18T00:00:00.000+0000,1.6435,1.8534,1.602,1.8026,23324884.06198401
2021-08-19T00:00:00.000+0000,1.7991,2.0941,1.7518,2.0849,36134816.69877167
2021-08-20T00:00:00.000+0000,2.0848,2.2137,2.04,2.1016,33011315.56694304
2021-08-21T00:00:00.000+0000,2.1034,2.1721,2.04,2.0837,13584614.47237627
2021-08-22T00:00:00.000+0000,2.0848,2.323,2.0828,2.3162,23103081.42169203
2021-08-23T00:00:00.000+0000,2.3179,2.5287,2.2958,2.4841,35176691.28752784
2021-08-24T00:00:00.000+0000,2.4841,2.5112,1.9808,2.3184,51370618.87071644
2021-08-25T00:00:00.000+0000,2.3174,2.3919,2.21,2.3323,25480464.75157108
2021-08-26T00:00:00.000+0000,2.3288,2.3665,2.1033,2.1541,31294115.88147863
2021-08-27T00:00:00.000+0000,2.1531,2.4972,2.1266,2.4972,30331006.38831188
2021-08-28T00:00:00.000+0000,2.4968,2.4996,2.3507,2.4162,14467723.19316005
2021-08-29T00:00:00.000+0000,2.4157,2.488,2.312,2.4203,14805630.42731699
2021-08-30T00:00:00.000+0000,2.4179,2.4451,2.31,2.3207,16281912.24317198
2021-08-31T00:00:00.000+0000,2.3204,2.4335,2.2918,2.3448,16678881.14453208
2021-09-01T00:00:00.000+0000,2.3445,2.45,2.305,2.4229,17539245.96325113
2021-09-02T00:00:00.000+0000,2.4229,2.6206,2.3937,2.4924,26815353.58195234
2021-09-03T00:00:00.000+0000,2.4944,2.5522,2.45,2.4965,13301341.12750691
2021-09-04T00:00:00.000+0000,2.4964,2.4984,2.3572,2.3821,14177974.66188292
2021-09-05T00:00:00.000+0000,2.3832,2.488,2.3778,2.4496,8566178.14313898
2021-09-06T00:00:00.000+0000,2.4496,2.4631,2.32,2.3874,14365226.25137896
2021-09-07T00:00:00.000+0000,2.3874,3.0,1.51,2.128,62196410.76421943
2021-09-08T00:00:00.000+0000,2.1259,2.1712,1.8351,2.0917,25936899.53464707
2021-09-09T00:00:00.000+0000,2.0913,2.2211,2.0227,2.1283,22291000.22265296
2021-09-10T00:00:00.000+0000,2.128,2.1869,1.9202,2.0186,19953494.59874892
2021-09-11T00:00:00.000+0000,2.0196,2.3763,2.005,2.2354,33552805.47419082
2021-09-12T00:00:00.000+0000,2.2336,2.362,2.101,2.1883,28724804.63711497
2021-09-13T00:00:00.000+0000,2.1846,2.1936,1.96,2.0347,24337810.10925727
2021-09-14T00:00:00.000+0000,2.0328,2.06,1.9642,2.0329,12275995.40440195
2021-09-15T00:00:00.000+0000,2.0293,2.1859,1.9992,2.119,15757612.4914581
2021-09-16T00:00:00.000+0000,2.1194,2.1443,2.0215,2.0539,10371096.54660994
2021-09-17T00:00:00.000+0000,2.0534,2.0756,1.9757,2.0049,7895171.31748697
2021-09-18T00:00:00.000+0000,2.0057,2.083,1.9741,2.0223,5878247.90821604
2021-09-19T00:00:00.000+0000,2.0223,2.0474,1.9292,1.9485,6233637.69780999
2021-09-20T00:00:00.000+0000,1.9486,1.9563,1.65,1.7752,32136325.32501807
2021-09-21T00:00:00.000+0000,1.7755,1.8997,1.6205,1.6911,22623271.82034006
2021-09-22T00:00:00.000+0000,1.6964,1.9404,1.6785,1.9348,17683731.5493399
