Datetime,Open,High,Low,Close,Volume
2021-11-27T16:00:00.000+0000,1.3904,1.402,1.3828,1.3851,885115.736606
2021-11-27T20:00:00.000+0000,1.3868,1.3923,1.3551,1.3683,910744.137562
2021-11-28T00:00:00.000+0000,1.3674,1.3675,1.3138,1.3218,622344.154886
2021-11-28T04:00:00.000+0000,1.3202,1.3443,1.3063,1.3415,724319.587256
2021-11-28T08:00:00.000+0000,1.3423,1.3553,1.2734,1.3387,5807225.490108
2021-11-28T12:00:00.000+0000,1.3374,1.3434,1.3157,1.3274,1194751.336072
2021-11-28T16:00:00.000+0000,1.3274,1.3287,1.2532,1.3063,4236594.253436
2021-11-28T20:00:00.000+0000,1.3087,1.4272,1.3087,1.4151,4204197.713742
2021-11-29T00:00:00.000+0000,1.4136,1.4321,1.4058,1.4127,424801.47406
2021-11-29T04:00:00.000+0000,1.4127,1.4224,1.4028,1.4138,1137996.970266
2021-11-29T08:00:00.000+0000,1.4121,1.4185,1.3808,1.3854,1397650.922503
2021-11-29T12:00:00.000+0000,1.387,1.4187,1.3839,1.394,993761.645627
2021-11-29T16:00:00.000+0000,1.3933,1.46,1.3921,1.4119,2706810.578203
2021-11-29T20:00:00.000+0000,1.412,1.4378,1.4093,1.4188,1097778.491478
2021-11-30T00:00:00.000+0000,1.4216,1.4436,1.39,1.3993,236141.859652
2021-11-30T04:00:00.000+0000,1.3985,1.4092,1.3634,1.3798,1534543.744415
2021-11-30T08:00:00.000+0000,1.3797,1.4032,1.369,1.4001,1211309.445418
2021-11-30T12:00:00.000+0000,1.401,1.4284,1.3968,1.4088,2158440.643615
2021-11-30T16:00:00.000+0000,1.4078,1.4166,1.3748,1.3901,1902093.719404
2021-11-30T20:00:00.000+0000,1.3901,1.3945,1.371,1.3726,1044760.922098
2021-12-01T00:00:00.000+0000,1.3733,1.4004,1.3618,1.3988,333756.877096
2021-12-01T04:00:00.000+0000,1.4005,1.42,1.3808,1.4136,948027.314156
2021-12-01T08:00:00.000+0000,1.4124,1.4216,1.3956,1.4049,1360943.140966
2021-12-01T12:00:00.000+0000,1.405,1.4233,1.3976,1.4129,1777927.764898
2021-12-01T16:00:00.000+0000,1.4152,1.44,1.3854,1.3958,2268164.008015
2021-12-01T20:00:00.000+0000,1.3939,1.3958,1.354,1.3693,1271688.187531
2021-12-02T00:00:00.000+0000,1.3693,1.3759,1.3426,1.3559,344080.164868
2021-12-02T04:00:00.000+0000,1.3562,1.3707,1.3529,1.3693,679739.629867
2021-12-02T08:00:00.000+0000,1.3676,1.4787,1.3653,1.4737,2792935.936531
2021-12-02T12:00:00.000+0000,1.4675,1.545,1.4666,1.5036,11794710.71588801
2021-12-02T16:00:00.000+0000,1.5019,1.5605,1.4925,1.5298,4740225.788515
2021-12-02T20:00:00.000+0000,1.5315,1.5391,1.5075,1.5216,1758882.356272
2021-12-03T00:00:00.000+0000,1.5224,1.5313,1.4748,1.4877,879376.330307
2021-12-03T04:00:00.000+0000,1.4916,1.504,1.4589,1.4653,1167135.030874
2021-12-03T08:00:00.000+0000,1.4682,1.4873,1.4612,1.4716,1339523.671534
2021-12-03T12:00:00.000+0000,1.4726,1.48,1.4253,1.4342,2009734.680331
2021-12-03T16:00:00.000+0000,1.4313,1.4341,1.3797,1.3822,3266704.075452
2021-12-03T20:00:00.000+0000,1.3831,1.4141,1.34,1.3801,2467279.013656
2021-12-04T00:00:00.000+0000,1.3801,1.381,1.3149,1.3149,751317.284935
2021-12-04T04:00:00.000+0000,1.3131,1.3441,1.0601,1.2,8838453.001179
2021-12-04T08:00:00.000+0000,1.2,1.259,1.15,1.1779,10634232.88859599
2021-12-04T12:00:00.000+0000,1.1794,1.34,1.1,1.2984,5527015.26507101
2021-12-04T16:00:00.000+0000,1.3002,1.4,1.2583,1.3161,3041218.181337
2021-12-04T20:00:00.000+0000,1.3155,1.3173,1.2409,1.2693,1527127.970314
2021-12-05T00:00:00.000+0000,1.2692,1.28,1.2167,1.2483,650430.012555
2021-12-05T04:00:00.000+0000,1.2487,1.34,1.2307,1.277,803292.42954
2021-12-05T08:00:00.000+0000,1.2682,1.277,1.2,1.2344,3861215.638844
2021-12-05T12:00:00.000+0000,1.2374,1.249,1.1408,1.1725,3428890.952596
2021-12-05T16:00:00.000+0000,1.18,1.2141,1.1511,1.1787,2516523.02794
2021-12-05T20:00:00.000+0000,1.1787,1.2429,1.1654,1.2195,2750324.887621
2021-12-06T00:00:00.000+0000,1.2247,1.23,1.1748,1.2095,1133996.265757
2021-12-06T04:00:00.000+0000,1.2117,1.2215,1.142,1.1678,1313175.126097
2021-12-06T08:00:00.000+0000,1.1675,1.2,1.1115,1.155,4427276.58242
2021-12-06T12:00:00.000+0000,1.155,1.1875,1.1402,1.1875,1913967.24594
2021-12-06T16:00:00.000+0000,1.188,1.2037,1.1758,1.1994,1812152.017738
2021-12-06T20:00:00.000+0000,1.1988,1.2829,1.1972,1.2641,3514207.381959
2021-12-07T00:00:00.000+0000,1.2615,1.31,1.2593,1.2789,598904.744235
2021-12-07T04:00:00.000+0000,1.2847,1.305,1.2711,1.2763,1169413.256638
2021-12-07T08:00:00.000+0000,1.2782,1.32,1.275,1.2881,2658662.163479
2021-12-07T12:00:00.000+0000,1.29,1.2958,1.2505,1.2766,1759136.90864
2021-12-07T16:00:00.000+0000,1.2766,1.2783,1.2397,1.2497,1540885.497511
2021-12-07T20:00:00.000+0000,1.2506,1.253,1.2134,1.225,2046361.734649
2021-12-08T00:00:00.000+0000,1.2245,1.23,1.1957,1.2006,633364.957689
2021-12-08T04:00:00.000+0000,1.1991,1.2382,1.1991,1.2308,1043142.321003
2021-12-08T08:00:00.000+0000,1.2307,1.2443,1.191,1.2124,1674007.188158
2021-12-08T12:00:00.000+0000,1.2115,1.2588,1.1989,1.2398,1329537.143225
2021-12-08T16:00:00.000+0000,1.2382,1.2518,1.22,1.2314,964016.348482
2021-12-08T20:00:00.000+0000,1.2343,1.2438,1.214,1.2324,828157.458848
2021-12-09T00:00:00.000+0000,1.2311,1.2428,1.2046,1.2084,418696.851294
2021-12-09T04:00:00.000+0000,1.2075,1.2281,1.2011,1.2238,434443.012339
2021-12-09T08:00:00.000+0000,1.2237,1.2237,1.189,1.1995,1280166.70852
2021-12-09T12:00:00.000+0000,1.199,1.2147,1.1659,1.1804,2220415.167294
2021-12-09T16:00:00.000+0000,1.1805,1.1943,1.15,1.1554,2411984.18486
2021-12-09T20:00:00.000+0000,1.1558,1.1717,1.1421,1.1421,1702413.055544
2021-12-10T00:00:00.000+0000,1.1428,1.172,1.1412,1.1544,223513.296237
2021-12-10T04:00:00.000+0000,1.1545,1.1622,1.1262,1.1299,915245.281919
